bgc_id,site_no,date,time_pst,division,genus,species,cells_per_ml,biovolume_um3_per_ml,tally,sampler,replicate,tally_natural_units,avg_length,avg_width,avg_depth,bv_factor,cymbelloid,e,f,aliquot_ml,fields,data_flag,notes
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,diatoma,diatoma vulgaris,79.22,119461.82,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,encyonema,encyonema sp.,12.11,2034.10,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,entomoneis,entomoneis sp.,79.22,348430.31,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,epithemia,epithemia sp.,12.11,1977.56,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,gomphonema,gomphonema sp.,12.11,13736.21,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,luticola,luticola sp.,12.11,8671.56,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,navicula,navicula tripunctata,79.22,17732.61,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,nitzschia,nitzschia inconspicua,48.43,2518.12,4,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,cyanobacteria,pseudanabaena,pseudanabaena sp.,21.33,402.13,32,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,cryptophyta,rhodomonas,rhodomonas lacustris,79.22,66595.82,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,staurosirella,staurosirella pinnata,24.21,2281.99,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,euglenozoa,strombomonas,strombomonas sp.,72.64,100407.49,6,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,thalassiosira,thalassiosira sp.,60.53,48207.00,5,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,ulnaria,ulnaria ulna,237.66,40038.38,3,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,amphora,amphora sp.,24.21,7264.33,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,aulacoseira,aulacoseira granulata,9427.26,28135747.19,119,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,thalassiosira,cf. thalassiosira sp.,79.22,6719.73,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,cyanobacteria,chroococcus,chroococcus microscopicus,83260.90,22320.78,1051,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,cocconeis,cocconeis placentula,24.21,19967.40,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,cyclotella,cyclotella sp.,12.11,16487.37,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,diploneis,diploneis cf. elliptica,12.11,54672.64,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,epithemia,epithemia sp.,12.11,6559.85,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,fragilaria,fragilaria brevistriata,475.32,43678.23,6,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,navicula,navicula tripunctata,79.22,92085.15,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,nitzschia,nitzschia dissipata var. media,12.11,4285.64,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,nitzschia,nitzschia solita,79.22,7922.06,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,pinnularia,pinnularia sp.,12.11,1360778.16,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,surirella,surirella sp.,12.11,15973.92,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000444,11455315,05/06/2016,13:00,bacillariophyta,ulnaria,ulnaria cf. ulna,79.22,44798.18,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,aulacoseira,aulacoseira granulata,1798.38,1717456.93,340,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,aulacoseira,aulacoseira sp.,37.03,5627.88,7,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,chlorophyta,chlamydomonas,chlamydomonas spp.,89.92,10790.31,17,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,eunotia,eunotia sp.,5.71,314.16,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,fragilaria,fragilaria sp.,47.60,3237.09,9,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,nitzschia,nitzschia sp.,5.71,1256.64,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000445,381741121433501,05/06/2016,13:30,bacillariophyta,synedra,synedra spp.,5.29,2396.08,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,amphiprora,amphiprora sp.,2.00,2844.03,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,aulacoseira,aulacoseira granulata,4046.36,3742887.15,153,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,aulacoseira,aulacoseira sp.,846.30,134561.45,32,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,cryptophyta,cryptomonas,cryptomonas spp.,79.34,5791.86,3,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,cyclotella,cyclotella sp.,132.23,20496.29,5,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,surirella,surirella librile,28.56,46923.99,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,cymbella,cymbella sp.,28.56,8539.42,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,diatoma,diatoma vulgare,4.00,660.01,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,diploneis,diploneis sp.,26.45,8833.24,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,epithemia,epithemia sp.,52.89,21157.46,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,eunotia,eunotia sp.,28.56,1513.68,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,fragilaria,fragilaria sp.,342.72,20563.16,12,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,nitzschia,nitzschia sp.,28.56,4655.27,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000447,381821121392701,05/06/2016,14:30,bacillariophyta,synedra,synedra spp.,57.12,31872.90,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,achnanthidium,achnanthidium spp.,5.71,114.24,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,aulacoseira,aulacoseira granulata,729.93,766429.04,138,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,aulacoseira,aulacoseira islandica,51.41,7197.11,9,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,aulacoseira,aulacoseira sp.,253.89,25642.84,48,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,cocconeis,cocconeis sp.,5.71,2313.36,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,diatoma,diatoma vulgare,15.87,2221.53,3,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,diploneis,diploneis sp.,10.58,3639.08,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,epithemia,epithemia sp.,5.71,2233.39,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,gomphonema,gomphonema sp.,10.58,5807.72,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,neidium,neidium sp.,0.40,134.40,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,ulnaria,ulnaria delicatissima,5.71,8111.02,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000448,11455350,05/06/2016,15:00,bacillariophyta,synedra,synedra spp.,5.29,2681.71,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
