Year,Season,Month,SACmax_mo,OUTmax_mo,SJRmean_mo,EXPORTmean_mo,SAC_mean_var_m,OUT_mean_var_m,SAC_max_var_m,OUT_max_var_m,lag_SACmean_mo,lag_OUTmean_mo,lag_SJRmean_mo,lag_EXPORTmean_mo,SACmax_s,OUTmax_s,SAC_mean_var_s,OUT_mean_var_s,SAC_max_var_s,OUT_max_var_s,SACmax_sm,OUTmax_sm,SAC_max_var_sm,OUT_max_var_sm,year_month
2002,Summer,8,19100,5228,1116.4516129032259,11376.741935483871,1629.032258064516,1497.4516129032259,4000,2741,18900,5731.8387096774195,1227.4193548387098,11024.193548387097,20600,6860,1300,1480.5217391304348,4000,5203,18900,5731.8387096774195,1629.032258064516,1676,2002-08-01
2002,Summer,9,14800,5553,1175.0333333333333,8648.566666666668,1033.3333333333333,1261.0333333333333,1900,2236,17016.129032258064,3848.5806451612902,1116.4516129032259,11376.741935483871,20600,6860,1300,1480.5217391304348,4000,5203,18900,5731.8387096774195,1629.032258064516,1676,2002-09-01
2002,Winter,1,65600,105892,2661.6129032258063,10839.290322580646,13064.516129032258,24354.612903225807,33400,56372,NA,NA,NA,NA,65600,105892,8321.111111111111,13723.077777777778,33400,56372,38270.967741935485,38731.41935483871,13064.516129032258,24354.612903225807,2002-01-01
2002,Winter,2,31100,24965,1897.5,8769.285714285714,5946.428571428572,5996,16500,13231,38270.967741935485,38731.41935483871,2661.6129032258063,10839.290322580646,65600,105892,8321.111111111111,13723.077777777778,33400,56372,38270.967741935485,38731.41935483871,13064.516129032258,24354.612903225807,2002-02-01
2002,Winter,3,28800,27474,2133.548387096774,8280.548387096775,5722.580645161291,10070.838709677419,10800,16412,18175,12029.67857142857,1897.5,8769.285714285714,65600,105892,8321.111111111111,13723.077777777778,33400,56372,38270.967741935485,38731.41935483871,13064.516129032258,24354.612903225807,2002-03-01
2003,Autumn,10,12800,8952,1999.032258064516,7312.451612903225,1186.4516129032259,2390.451612903226,2680,6194,15346.666666666666,3486.6,1308.3333333333333,11295.966666666667,47000,51521,4434.565217391304,7206.869565217391,18100,30956,27787.09677419355,23855.645161290322,10361.290322580646,13595.41935483871,2003-10-01
2003,Autumn,11,14500,15279,1647,8260.166666666666,1666.6666666666667,5582.333333333333,4900,11799,11004.838709677419,4304.677419354839,1999.032258064516,7312.451612903225,47000,51521,4434.565217391304,7206.869565217391,18100,30956,27787.09677419355,23855.645161290322,10361.290322580646,13595.41935483871,2003-11-01
2003,Autumn,12,47000,51521,1502.5806451612902,8533.548387096775,10361.290322580646,13595.41935483871,18100,30956,12450,6625.466666666666,1647,8260.166666666666,47000,51521,4434.565217391304,7206.869565217391,18100,30956,27787.09677419355,23855.645161290322,10361.290322580646,13595.41935483871,2003-12-01
2003,Spring,4,40800,51049,2667.6666666666665,4784.466666666666,8980,14220.433333333332,22200,29993,22922.58064516129,15779.612903225807,2193.2258064516127,10855.967741935483,62400,67682,7481.318681318681,9766.637362637362,24700,29993,40538.709677419356,41937.74193548387,10083.870967741936,14220.433333333332,2003-04-01
2003,Spring,5,62400,67682,2625.1612903225805,2765.8709677419356,10083.870967741936,11800.935483870968,24700,28935,21586.666666666668,22053.866666666665,2667.6666666666665,4784.466666666666,62400,67682,7481.318681318681,9766.637362637362,24700,29993,40538.709677419356,41937.74193548387,10083.870967741936,14220.433333333332,2003-05-01
2003,Spring,6,28300,18740,2033.6666666666667,10694.733333333334,3293.3333333333335,3210.733333333333,4600,4694,40538.709677419356,41937.74193548387,2625.1612903225805,2765.8709677419356,62400,67682,7481.318681318681,9766.637362637362,24700,29993,40538.709677419356,41937.74193548387,10083.870967741936,14220.433333333332,2003-06-01
2003,Summer,7,25600,14247,1320.6451612903227,11270.322580645161,1509.6774193548388,1750.0967741935483,2900,4151,22276.666666666668,11802,2033.6666666666667,10694.733333333334,25700,14247,1828.2608695652175,2308.3260869565215,7500,7575,22429.032258064515,9703.161290322581,2609.6774193548385,3401.3225806451615,2003-07-01
2003,Summer,8,25700,13124,1280.6451612903227,11613.741935483871,2609.6774193548385,3401.3225806451615,7500,7575,22429.032258064515,9703.161290322581,1320.6451612903227,11270.322580645161,25700,14247,1828.2608695652175,2308.3260869565215,7500,7575,22429.032258064515,9703.161290322581,2609.6774193548385,3401.3225806451615,2003-08-01
2003,Summer,9,17300,5198,1308.3333333333333,11295.966666666667,1350,1755.7333333333333,3000,3686,19583.870967741936,6928.225806451613,1280.6451612903227,11613.741935483871,25700,14247,1828.2608695652175,2308.3260869565215,7500,7575,22429.032258064515,9703.161290322581,2609.6774193548385,3401.3225806451615,2003-09-01
2003,Winter,1,65300,82979,1912.9032258064517,10255.258064516129,16412.90322580645,25423.1935483871,31500,48719,NA,NA,NA,NA,65300,82979,12444.444444444445,17579.21111111111,31500,48719,51935.48387096774,51440.93548387097,16412.90322580645,25423.1935483871,2003-01-01
2003,Winter,2,45300,41236,1878.9285714285713,10945.392857142857,11171.42857142857,14127.07142857143,18400,22539,51935.48387096774,51440.93548387097,1912.9032258064517,10255.258064516129,65300,82979,12444.444444444445,17579.21111111111,31500,48719,51935.48387096774,51440.93548387097,16412.90322580645,25423.1935483871,2003-02-01
2003,Winter,3,39600,41082,2193.2258064516127,10855.967741935483,9625.806451612903,12853.290322580646,24000,34579,36085.71428571428,29622.85714285714,1878.9285714285713,10945.392857142857,65300,82979,12444.444444444445,17579.21111111111,31500,48719,51935.48387096774,51440.93548387097,16412.90322580645,25423.1935483871,2003-03-01
2004,Autumn,10,17900,18234,1752.9032258064517,7337.580645161291,2693.548387096774,6269.806451612903,5400,13638,14610,4700.966666666666,1120.6666666666667,9633.333333333334,46600,58511,5991.304347826087,10402.130434782608,43800,60279,17745.16129032258,12451.193548387097,13303.225806451614,19553.09677419355,2004-10-01
2004,Autumn,11,14000,11857,1631.6666666666667,8278.466666666667,1843.3333333333333,5216.2,4100,7925,12606.451612903225,8517.387096774193,1752.9032258064517,7337.580645161291,46600,58511,5991.304347826087,10402.130434782608,43800,60279,17745.16129032258,12451.193548387097,13303.225806451614,19553.09677419355,2004-11-01
2004,Autumn,12,46600,58511,1578.0645161290322,8144.1612903225805,13303.225806451614,19553.09677419355,43800,60279,12250,6708.166666666667,1631.6666666666667,8278.466666666667,46600,58511,5991.304347826087,10402.130434782608,43800,60279,17745.16129032258,12451.193548387097,13303.225806451614,19553.09677419355,2004-12-01
2004,Spring,4,36100,31799,2750.6666666666665,4459.033333333334,7820,7915.4,15200,17681,46706.45161290323,56299.54838709677,3360.6451612903224,11109.645161290322,36100,31799,3789.010989010989,7022.010989010989,15200,39959,23793.333333333332,22006.5,7820,8864.1,2004-04-01
2004,Spring,5,14300,15250,2646.7741935483873,1920.5806451612902,1612.9032258064517,4374.774193548387,3000,39959,23793.333333333332,22006.5,2750.6666666666665,4459.033333333334,36100,31799,3789.010989010989,7022.010989010989,15200,39959,23793.333333333332,22006.5,7820,8864.1,2004-05-01
2004,Spring,6,17400,9673,1403.6666666666667,5720.2,2006.6666666666667,8864.1,4600,39506,12532.258064516129,12425.516129032258,2646.7741935483873,1920.5806451612902,36100,31799,3789.010989010989,7022.010989010989,15200,39959,23793.333333333332,22006.5,7820,8864.1,2004-06-01
2004,Summer,7,21800,8665,1146.6129032258063,11138.258064516129,1377.4193548387098,1324.3548387096773,3900,2058,15130,5726.633333333333,1403.6666666666667,5720.2,21800,8665,1201.0869565217392,1820.3369565217392,3900,3421,20441.935483870966,7378.1612903225805,1377.4193548387098,2304.5,2004-07-01
2004,Summer,8,19400,7316,1125.2903225806451,11439.677419354839,1093.5483870967741,1847.774193548387,2300,2413,20441.935483870966,7378.1612903225805,1146.6129032258063,11138.258064516129,21800,8665,1201.0869565217392,1820.3369565217392,3900,3421,20441.935483870966,7378.1612903225805,1377.4193548387098,2304.5,2004-08-01
2004,Summer,9,16200,7702,1120.6666666666667,9633.333333333334,1130,2304.5,2400,3421,17916.129032258064,5252.5161290322585,1125.2903225806451,11439.677419354839,21800,8665,1201.0869565217392,1820.3369565217392,3900,3421,20441.935483870966,7378.1612903225805,1377.4193548387098,2304.5,2004-09-01
2004,Winter,1,61200,69523,1791.9354838709678,11420.193548387097,10016.129032258064,13263.870967741936,19200,28872,NA,NA,NA,NA,74700,179947,12372.527472527472,29873.494505494506,53500,139965,46706.45161290323,68091.27586206897,17203.44827586207,50714.8275862069,2004-01-01
2004,Winter,2,74700,179947,2201.3793103448274,10577.103448275862,17203.44827586207,50714.8275862069,53500,139965,36767.74193548387,32138.1935483871,1791.9354838709678,11420.193548387097,74700,179947,12372.527472527472,29873.494505494506,53500,139965,46706.45161290323,68091.27586206897,17203.44827586207,50714.8275862069,2004-02-01
2004,Winter,3,71300,155420,3360.6451612903224,11109.645161290322,10209.677419354839,26986.387096774193,21700,69821,44420.68965517241,68091.27586206897,2201.3793103448274,10577.103448275862,74700,179947,12372.527472527472,29873.494505494506,53500,139965,46706.45161290323,68091.27586206897,17203.44827586207,50714.8275862069,2004-03-01
2005,Autumn,10,17700,7263,2618.7096774193546,10925.225806451614,1603.225806451613,1757.1935483870968,3100,2675,17933.333333333332,7051,2412,11810.933333333332,88300,235781,7514.130434782609,23323.684782608696,51000,260689,35458.06451612903,42829,17887.09677419355,63642.25806451613,2005-10-01
2005,Autumn,11,17100,7570,2038.3333333333333,9727.933333333332,2903.3333333333335,3946.5333333333333,14200,18393,14074.193548387097,4467.193548387097,2618.7096774193546,10925.225806451614,88300,235781,7514.130434782609,23323.684782608696,51000,260689,35458.06451612903,42829,17887.09677419355,63642.25806451613,2005-11-01
2005,Autumn,12,88300,235781,3521.2903225806454,10886.90322580645,17887.09677419355,63642.25806451613,51000,260689,13386.666666666666,5008.666666666667,2038.3333333333333,9727.933333333332,88300,235781,7514.130434782609,23323.684782608696,51000,260689,35458.06451612903,42829,17887.09677419355,63642.25806451613,2005-12-01
2005,Spring,4,34800,50109,10060.666666666666,6137.233333333334,4616.666666666667,7141.333333333333,14600,20156,30367.74193548387,38557.967741935485,8064.8387096774195,7052.193548387097,74100,91682,9529.670329670329,12492.186813186812,33900,42203,40219.354838709674,50999.16129032258,17667.74193548387,21043.41935483871,2005-04-01
2005,Spring,5,74100,91682,10411.290322580646,3290.1290322580644,17667.74193548387,21043.41935483871,33900,42203,22133.333333333332,29903.033333333333,10060.666666666666,6137.233333333334,74100,91682,9529.670329670329,12492.186813186812,33900,42203,40219.354838709674,50999.16129032258,17667.74193548387,21043.41935483871,2005-05-01
2005,Spring,6,40700,48887,9979,10188.433333333332,6033.333333333333,9006.766666666666,12700,16848,40219.354838709674,50999.16129032258,10411.290322580646,3290.1290322580644,74100,91682,9529.670329670329,12492.186813186812,33900,42203,40219.354838709674,50999.16129032258,17667.74193548387,21043.41935483871,2005-06-01
2005,Summer,7,21200,11316,4155.4838709677415,11924.193548387097,1177.4193548387098,1461.1935483870968,2400,2338,28653.333333333332,27968.066666666666,9979,10188.433333333332,21200,11316,1106.5217391304348,1345.5326086956522,2500,3091,19667.74193548387,9441.064516129032,1238.7096774193549,1461.1935483870968,2005-07-01
2005,Summer,8,18200,6990,2615.483870967742,11918.741935483871,1238.7096774193549,1284.0967741935483,2500,3091,19667.74193548387,9441.064516129032,4155.4838709677415,11924.193548387097,21200,11316,1106.5217391304348,1345.5326086956522,2500,3091,19667.74193548387,9441.064516129032,1238.7096774193549,1461.1935483870968,2005-08-01
2005,Summer,9,18500,8156,2412,11810.933333333332,896.6666666666666,1289.5,1300,1895,17245.16129032258,5632.193548387097,2615.483870967742,11918.741935483871,21200,11316,1106.5217391304348,1345.5326086956522,2500,3091,19667.74193548387,9441.064516129032,1238.7096774193549,1461.1935483870968,2005-09-01
2005,Winter,1,55600,63899,4918.064516129032,12152.645161290322,10267.741935483871,16464.354838709678,21600,30099,NA,NA,NA,NA,55600,71870,9973.333333333334,15462.722222222223,31400,48024,33680.645161290326,38557.967741935485,12380.645161290322,18450.41935483871,2005-01-01
2005,Winter,2,33500,37773,5303.214285714285,9033.142857142857,6982.142857142857,11045.964285714286,13300,16099,33680.645161290326,33624,4918.064516129032,12152.645161290322,55600,71870,9973.333333333334,15462.722222222223,31400,48024,33680.645161290326,38557.967741935485,12380.645161290322,18450.41935483871,2005-02-01
2005,Winter,3,53900,71870,8064.8387096774195,7052.193548387097,12380.645161290322,18450.41935483871,31400,48024,24875,24932.928571428572,5303.214285714285,9033.142857142857,55600,71870,9973.333333333334,15462.722222222223,31400,48024,33680.645161290326,38557.967741935485,12380.645161290322,18450.41935483871,2005-03-01
2006,Autumn,10,14600,6576,3850.6451612903224,10595.193548387097,1162.5806451612902,1897.225806451613,2000,2914,18010,7920.166666666667,3316,11819.633333333333,26000,17815,2905.8695652173915,4182.152173913043,10900,11887,16951.612903225807,9019.354838709678,6280.645161290323,7510.387096774193,2006-10-01
2006,Autumn,11,13800,9437,2538,9631.8,1220,3104.0666666666666,2100,6050,11721.612903225807,3987.548387096774,3850.6451612903224,10595.193548387097,26000,17815,2905.8695652173915,4182.152173913043,10900,11887,16951.612903225807,9019.354838709678,6280.645161290323,7510.387096774193,2006-11-01
2006,Autumn,12,26000,17815,2354.1935483870966,10833.225806451614,6280.645161290323,7510.387096774193,10900,11887,12146.666666666666,5230.6,2538,9631.8,26000,17815,2905.8695652173915,4182.152173913043,10900,11887,16951.612903225807,9019.354838709678,6280.645161290323,7510.387096774193,2006-12-01
2006,Spring,4,91800,256965,27936.666666666668,3554.8333333333335,7743.333333333333,57787.1,22700,140458,67412.90322580645,115393.32258064517,11704.838709677419,6085,91800,256965,6449.450549450549,26229.56043956044,22700,140458,77646.66666666667,179437.63333333333,8016.129032258064,57787.1,2006-04-01
2006,Spring,5,70600,122053,26054.83870967742,4064.483870967742,8016.129032258064,15242.09677419355,15400,29267,77646.66666666667,179437.63333333333,27936.666666666668,3554.8333333333335,91800,256965,6449.450549450549,26229.56043956044,22700,140458,77646.66666666667,179437.63333333333,8016.129032258064,57787.1,2006-05-01
2006,Spring,6,33600,46139,15690,7403.8,3536.6666666666665,6025.733333333334,6000,14103,52145.16129032258,81325.80645161291,26054.83870967742,4064.483870967742,91800,256965,6449.450549450549,26229.56043956044,22700,140458,77646.66666666667,179437.63333333333,8016.129032258064,57787.1,2006-06-01
2006,Summer,7,20400,19211,5546.774193548387,11617.612903225807,1587.0967741935483,3075.8709677419356,2600,15087,27210,35325.2,15690,7403.8,20400,19211,1446.7391304347825,2047.8369565217392,3100,15087,18864.516129032258,10261.290322580646,1740,3075.8709677419356,2006-07-01
2006,Summer,8,20100,10054,3697.0967741935483,11903.161290322581,1022.5806451612904,1322.774193548387,1800,2631,18587.09677419355,10261.290322580646,5546.774193548387,11617.612903225807,20400,19211,1446.7391304347825,2047.8369565217392,3100,15087,18864.516129032258,10261.290322580646,1740,3075.8709677419356,2006-08-01
2006,Summer,9,20300,9954,3316,11819.633333333333,1740,1734.7666666666667,3100,3200,18864.516129032258,8175.870967741936,3697.0967741935483,11903.161290322581,20400,19211,1446.7391304347825,2047.8369565217392,3100,15087,18864.516129032258,10261.290322580646,1740,3075.8709677419356,2006-09-01
2006,Winter,1,87600,368424,13171.290322580646,7249.677419354839,10848.387096774193,66077.51612903226,19700,208616,NA,NA,NA,NA,87600,368424,11376.666666666666,45936.9,38900,208616,67412.90322580645,145921.06451612903,18121.428571428572,66077.51612903226,2006-01-01
2006,Winter,2,70200,85475,6457.5,9421.785714285714,18121.428571428572,29400.214285714286,38900,95107,66151.6129032258,145921.06451612903,13171.290322580646,7249.677419354839,87600,368424,11376.666666666666,45936.9,38900,208616,67412.90322580645,145921.06451612903,18121.428571428572,66077.51612903226,2006-02-01
2006,Winter,3,70000,175262,11704.838709677419,6085,5812.903225806452,40732.645161290326,35900,99883,48921.42857142857,52129.107142857145,6457.5,9421.785714285714,87600,368424,11376.666666666666,45936.9,38900,208616,67412.90322580645,145921.06451612903,18121.428571428572,66077.51612903226,2006-03-01
2007,Autumn,10,12300,6729,1569.6774193548388,7600.322580645161,1220,2014.0967741935483,1900,3943,15196.666666666666,4517.166666666667,1014.0666666666667,9873.933333333332,16400,15056,1900.108695652174,4184.152173913043,6100,14453,12121.290322580646,7185.580645161291,3398.7096774193546,7492.774193548387,2007-10-01
2007,Autumn,11,11300,10067,1710.6666666666667,6639.033333333334,1054.3333333333333,3007.633333333333,2180,7278,10541.935483870968,3683,1569.6774193548388,7600.322580645161,16400,15056,1900.108695652174,4184.152173913043,6100,14453,12121.290322580646,7185.580645161291,3398.7096774193546,7492.774193548387,2007-11-01
2007,Autumn,12,16400,15056,1502.5806451612902,6728.225806451613,3398.7096774193546,7492.774193548387,6100,14453,10005,4290.9,1710.6666666666667,6639.033333333334,16400,15056,1900.108695652174,4184.152173913043,6100,14453,12121.290322580646,7185.580645161291,3398.7096774193546,7492.774193548387,2007-12-01
2007,Spring,4,15600,16873,2225.3333333333335,4878.5,2061.6666666666665,4608.966666666666,4970,9189,18322.58064516129,14003.967741935483,2554.8387096774195,7282.032258064516,18600,16873,2124.065934065934,2984.296703296703,5600,9189,13631,11306.233333333334,2531.3333333333335,4608.966666666666,2007-04-01
2007,Spring,5,12100,12736,2898.064516129032,1661.3870967741937,1790.3225806451612,1914.5483870967741,3220,3635,13631,11306.233333333334,2225.3333333333335,4878.5,18600,16873,2124.065934065934,2984.296703296703,5600,9189,13631,11306.233333333334,2531.3333333333335,4608.966666666666,2007-05-01
2007,Spring,6,18600,10450,1745,3451.633333333333,2531.3333333333335,2465.0333333333333,5600,4620,9362.58064516129,9379.806451612903,2898.064516129032,1661.3870967741937,18600,16873,2124.065934065934,2984.296703296703,5600,9189,13631,11306.233333333334,2531.3333333333335,4608.966666666666,2007-06-01
